year,state,measure,value,population
2011,New Jersey,Gini coefficient,0.46939999,"8,828,117"
2011,New Jersey,GDP,57920.69348,"8,828,117"
2011,New Jersey,Log(GDP),10.96683,"8,828,117"
2011,New Jersey,Age,39.2,"8,828,117"
2011,New Jersey,People with less than 9 years of education/people with college degree or above,0.1577571,"8,828,117"
2011,New Jersey,Black/white,0.2290255,"8,828,117"
2011,New Jersey,Hispanic/white,0.309914,"8,828,117"
2012,New Jersey,Labor Force Participation,66,"8,844,942"
2012,New Jersey,Unemployment rate,9.3,"8,844,942"
2012,New Jersey,Average household size,2.71,"8,844,942"
2012,New Jersey,Poverty rate,8.2,"8,844,942"
2012,New Jersey,"Number of corruption convictions per 1,000,000 people",3.04583,"8,844,942"
2012,New Jersey,Gini coefficient,0.4718,"8,844,942"
2012,New Jersey,GDP,58631.65398,"8,844,942"
2012,New Jersey,Log(GDP),10.97903,"8,844,942"
2012,New Jersey,Age,39.4,"8,844,942"
2012,New Jersey,People with less than 9 years of education/people with college degree or above,0.1466524,"8,844,942"
2012,New Jersey,Black/white,0.2351878,"8,844,942"
2012,New Jersey,Hispanic/white,0.3196497,"8,844,942"
2013,New Jersey,Labor Force Participation,65.2,"8,856,972"
2013,New Jersey,Unemployment rate,8.2,"8,856,972"
2013,New Jersey,Average household size,2.74,"8,856,972"
2013,New Jersey,Poverty rate,8.7,"8,856,972"
2013,New Jersey,"Number of corruption convictions per 1,000,000 people",3.37104,"8,856,972"
2013,New Jersey,Gini coefficient,0.47999999,"8,856,972"
2013,New Jersey,GDP,58806.04884,"8,856,972"
2013,New Jersey,Log(GDP),10.982,"8,856,972"
2013,New Jersey,Age,39.4,"8,856,972"
2013,New Jersey,People with less than 9 years of education/people with college degree or above,0.1491642,"8,856,972"
2013,New Jersey,Black/white,0.2384262,"8,856,972"
2013,New Jersey,Hispanic/white,0.3302363,"8,856,972"
2014,New Jersey,Labor Force Participation,64.1,"8,864,525"
2014,New Jersey,Unemployment rate,6.8,"8,864,525"
2014,New Jersey,Average household size,2.74,"8,864,525"
2014,New Jersey,Poverty rate,8.3,"8,864,525"
2014,New Jersey,"Number of corruption convictions per 1,000,000 people",3.69203,"8,864,525"
2014,New Jersey,Gini coefficient,0.47569999,"8,864,525"
2014,New Jersey,GDP,58739.63553,"8,864,525"
2014,New Jersey,Log(GDP),10.98087,"8,864,525"
2014,New Jersey,Age,39.4,"8,864,525"
2014,New Jersey,People with less than 9 years of education/people with college degree or above,0.1382758,"8,864,525"
2014,New Jersey,Black/white,0.2395379,"8,864,525"
2014,New Jersey,Hispanic/white,0.3417358,"8,864,525"
2015,New Jersey,Labor Force Participation,64,"8,867,949"
2015,New Jersey,Unemployment rate,5.8,"8,867,949"
2015,New Jersey,Average household size,2.75,"8,867,949"
2015,New Jersey,Poverty rate,8.1,"8,867,949"
2015,New Jersey,"Number of corruption convictions per 1,000,000 people",2.56753,"8,867,949"
2015,New Jersey,Gini coefficient,0.48320001,"8,867,949"
2015,New Jersey,GDP,59568.36955,"8,867,949"
2015,New Jersey,Log(GDP),10.99488,"8,867,949"
2015,New Jersey,Age,39.6,"8,867,949"
2015,New Jersey,People with less than 9 years of education/people with college degree or above,0.1378102,"8,867,949"
2015,New Jersey,Black/white,0.2387291,"8,867,949"
2015,New Jersey,Hispanic/white,0.3509752,"8,867,949"
2005,New Mexico,Labor Force Participation,63.9,"1,932,274"
2005,New Mexico,Unemployment rate,5.1,"1,932,274"
2005,New Mexico,Average household size,2.59,"1,932,274"
2005,New Mexico,Poverty rate,14.3,"1,932,274"
2005,New Mexico,"Number of corruption convictions per 1,000,000 people",1.55258,"1,932,274"
2005,New Mexico,Gini coefficient,0.45499998,"1,932,274"
2005,New Mexico,GDP,44417.55264,"1,932,274"
2005,New Mexico,Log(GDP),10.70139,"1,932,274"
2005,New Mexico,Age,36.2,"1,932,274"
2005,New Mexico,People with less than 9 years of education/people with college degree or above,0.3059636,"1,932,274"
2005,New Mexico,Black/white,0.0405051,"1,932,274"
2005,New Mexico,Hispanic/white,1.018169,"1,932,274"
2006,New Mexico,Labor Force Participation,63.5,"1,962,137"
2006,New Mexico,Unemployment rate,4.2,"1,962,137"
2006,New Mexico,Average household size,2.64,"1,962,137"
2006,New Mexico,Poverty rate,13.8,"1,962,137"
2006,New Mexico,"Number of corruption convictions per 1,000,000 people",3.05789,"1,962,137"
2006,New Mexico,Gini coefficient,0.45699999,"1,962,137"
2006,New Mexico,GDP,43943.06071,"1,962,137"
2006,New Mexico,Log(GDP),10.69065,"1,962,137"
2006,New Mexico,Age,35.2,"1,962,137"
2006,New Mexico,People with less than 9 years of education/people with college degree or above,0.3268435,"1,962,137"
2006,New Mexico,Black/white,0.0432455,"1,962,137"
2006,New Mexico,Hispanic/white,1.038267,"1,962,137"
2007,New Mexico,Labor Force Participation,63,"1,990,070"
2007,New Mexico,Unemployment rate,3.8,"1,990,070"
2007,New Mexico,Average household size,2.62,"1,990,070"
2007,New Mexico,Poverty rate,14.2,"1,990,070"
2007,New Mexico,"Number of corruption convictions per 1,000,000 people",1.50748,"1,990,070"
2007,New Mexico,Gini coefficient,0.45899999,"1,990,070"
2007,New Mexico,GDP,43916.26361,"1,990,070"
2007,New Mexico,Log(GDP),10.69004,"1,990,070"
2007,New Mexico,Age,36,"1,990,070"
2007,New Mexico,People with less than 9 years of education/people with college degree or above,0.3362191,"1,990,070"
2007,New Mexico,Black/white,0.0500912,"1,990,070"
2007,New Mexico,Hispanic/white,1.054134,"1,990,070"
2008,New Mexico,Labor Force Participation,63,"2,010,662"
2008,New Mexico,Unemployment rate,4.5,"2,010,662"
2008,New Mexico,Average household size,2.62,"2,010,662"
2008,New Mexico,Poverty rate,12.6,"2,010,662"
2008,New Mexico,"Number of corruption convictions per 1,000,000 people",3.02365,"2,010,662"
2008,New Mexico,Gini coefficient,0.46000001,"2,010,662"
2008,New Mexico,GDP,43327.37798,"2,010,662"
2008,New Mexico,Log(GDP),10.67654,"2,010,662"
2008,New Mexico,Age,36,"2,010,662"
2008,New Mexico,People with less than 9 years of education/people with college degree or above,0.3189409,"2,010,662"
2008,New Mexico,Black/white,0.0548115,"2,010,662"
2008,New Mexico,Hispanic/white,1.080646,"2,010,662"
2009,New Mexico,Labor Force Participation,62,"2,036,802"
2009,New Mexico,Unemployment rate,7.5,"2,036,802"
2009,New Mexico,Average household size,2.65,"2,036,802"
2009,New Mexico,Poverty rate,13.6,"2,036,802"
2009,New Mexico,"Number of corruption convictions per 1,000,000 people",4.47834,"2,036,802"
2009,New Mexico,Gini coefficient,0.45300001,"2,036,802"
2009,New Mexico,GDP,43622.57192,"2,036,802"
2009,New Mexico,Log(GDP),10.68333,"2,036,802"
2009,New Mexico,Age,35.5,"2,036,802"
2009,New Mexico,People with less than 9 years of education/people with college degree or above,0.3010118,"2,036,802"
2009,New Mexico,Black/white,0.0526987,"2,036,802"
2009,New Mexico,Hispanic/white,1.111608,"2,036,802"
2010,New Mexico,Labor Force Participation,60,"2,064,552"
2010,New Mexico,Unemployment rate,8.1,"2,064,552"
2010,New Mexico,Average household size,2.64,"2,064,552"
2010,New Mexico,Poverty rate,15.7,"2,064,552"
2010,New Mexico,"Number of corruption convictions per 1,000,000 people",3.3883,"2,064,552"
2010,New Mexico,Gini coefficient,0.46399999,"2,064,552"
2010,New Mexico,GDP,42113.76812,"2,064,552"
2010,New Mexico,Log(GDP),10.64813,"2,064,552"
2010,New Mexico,Age,36.7,"2,064,552"
2010,New Mexico,People with less than 9 years of education/people with college degree or above,0.3034267,"2,064,552"
2010,New Mexico,Black/white,0.0485812,"2,064,552"
2010,New Mexico,Hispanic/white,1.148353,"2,064,552"
2011,New Mexico,Labor Force Participation,58.8,"2,080,450"
2011,New Mexico,Unemployment rate,7.5,"2,080,450"
2011,New Mexico,Average household size,2.66,"2,080,450"
2011,New Mexico,Poverty rate,16.6,"2,080,450"
2011,New Mexico,"Number of corruption convictions per 1,000,000 people",1.92102,"2,080,450"
2011,New Mexico,Gini coefficient,0.48210001,"2,080,450"
2011,New Mexico,GDP,41862.26067,"2,080,450"
2011,New Mexico,Log(GDP),10.64214,"2,080,450"
2011,New Mexico,Age,36.6,"2,080,450"
2011,New Mexico,People with less than 9 years of education/people with college degree or above,0.2842324,"2,080,450"
2011,New Mexico,Black/white,0.0531821,"2,080,450"
2011,New Mexico,Hispanic/white,1.166435,"2,080,450"
2012,New Mexico,Labor Force Participation,58.2,"2,087,309"
2012,New Mexico,Unemployment rate,7.1,"2,087,309"
2012,New Mexico,Average household size,2.67,"2,087,309"
2012,New Mexico,Poverty rate,16.8,"2,087,309"
2012,New Mexico,"Number of corruption convictions per 1,000,000 people",1.91797,"2,087,309"
2012,New Mexico,Gini coefficient,0.47130001,"2,087,309"
2012,New Mexico,GDP,42004.41455,"2,087,309"
2012,New Mexico,Log(GDP),10.64553,"2,087,309"
2012,New Mexico,Age,36.8,"2,087,309"
2012,New Mexico,People with less than 9 years of education/people with college degree or above,0.2628318,"2,087,309"
2012,New Mexico,Black/white,0.0518012,"2,087,309"
2012,New Mexico,Hispanic/white,1.184578,"2,087,309"
2013,New Mexico,Labor Force Participation,57.7,"2,092,273"
2013,New Mexico,Unemployment rate,6.9,"2,092,273"
2013,New Mexico,Average household size,2.71,"2,092,273"
2013,New Mexico,Poverty rate,16.3,"2,092,273"
2013,New Mexico,"Number of corruption convictions per 1,000,000 people",0.959101,"2,092,273"
2013,New Mexico,Gini coefficient,0.47589999,"2,092,273"
2013,New Mexico,GDP,41483.87183,"2,092,273"
2013,New Mexico,Log(GDP),10.63306,"2,092,273"
2013,New Mexico,Age,36.9,"2,092,273"
2013,New Mexico,People with less than 9 years of education/people with college degree or above,0.2801919,"2,092,273"
2013,New Mexico,Black/white,0.0509512,"2,092,273"
2013,New Mexico,Hispanic/white,1.204468,"2,092,273"
2014,New Mexico,Labor Force Participation,58,"2,089,568"
2014,New Mexico,Unemployment rate,6.7,"2,089,568"
2014,New Mexico,Average household size,2.68,"2,089,568"
2014,New Mexico,Poverty rate,16.5,"2,089,568"
2014,New Mexico,"Number of corruption convictions per 1,000,000 people",4.79485,"2,089,568"
2014,New Mexico,Gini coefficient,0.477,"2,089,568"
2014,New Mexico,GDP,42746.81634,"2,089,568"
2014,New Mexico,Log(GDP),10.66305,"2,089,568"
2014,New Mexico,Age,37.2,"2,089,568"
2014,New Mexico,People with less than 9 years of education/people with college degree or above,0.2505883,"2,089,568"
2014,New Mexico,Black/white,0.0511013,"2,089,568"
2014,New Mexico,Hispanic/white,1.230772,"2,089,568"
2015,New Mexico,Labor Force Participation,58,"2,089,291"
2015,New Mexico,Unemployment rate,6.5,"2,089,291"
2015,New Mexico,Average household size,2.68,"2,089,291"
2015,New Mexico,Poverty rate,14.8,"2,089,291"
2015,New Mexico,"Number of corruption convictions per 1,000,000 people",5.7551,"2,089,291"
2015,New Mexico,Gini coefficient,0.4795,"2,089,291"
2015,New Mexico,GDP,43579.84274,"2,089,291"
2015,New Mexico,Log(GDP),10.68235,"2,089,291"
2015,New Mexico,Age,37.4,"2,089,291"
2015,New Mexico,People with less than 9 years of education/people with college degree or above,0.2546768,"2,089,291"
2015,New Mexico,Black/white,0.059983,"2,089,291"
2015,New Mexico,Hispanic/white,1.254545,"2,089,291"
2005,New York,Labor Force Participation,63,"19,132,610"
2005,New York,Unemployment rate,5,"19,132,610"
2005,New York,Average household size,2.62,"19,132,610"
2005,New York,Poverty rate,11.1,"19,132,610"
2005,New York,"Number of corruption convictions per 1,000,000 people",4.28588,"19,132,610"
2005,New York,Gini coefficient,0.49000001,"19,132,610"
2005,New York,GDP,62772.97968,"19,132,610"
2005,New York,Log(GDP),11.04728,"19,132,610"
2005,New York,Age,37.5,"19,132,610"
2005,New York,People with less than 9 years of education/people with college degree or above,0.208631,"19,132,610"
2005,New York,Black/white,0.2402075,"19,132,610"
2005,New York,Hispanic/white,0.2676499,"19,132,610"
2006,New York,Labor Force Participation,63,"19,104,631"
2006,New York,Unemployment rate,4.5,"19,104,631"
2006,New York,Average household size,2.64,"19,104,631"
2006,New York,Poverty rate,10.9,"19,104,631"
2006,New York,"Number of corruption convictions per 1,000,000 people",2.66951,"19,104,631"
2006,New York,Gini coefficient,0.495,"19,104,631"
2006,New York,GDP,62151.48559,"19,104,631"
2006,New York,Log(GDP),11.03733,"19,104,631"
2006,New York,Age,37.4,"19,104,631"
2006,New York,People with less than 9 years of education/people with college degree or above,0.2228721,"19,104,631"
2006,New York,Black/white,0.2448938,"19,104,631"
2006,New York,Hispanic/white,0.2699897,"19,104,631"
2007,New York,Labor Force Participation,62.7,"19,132,335"
2007,New York,Unemployment rate,4.6,"19,132,335"
2007,New York,Average household size,2.63,"19,132,335"
2007,New York,Poverty rate,10.3,"19,132,335"
2007,New York,"Number of corruption convictions per 1,000,000 people",2.29978,"19,132,335"
2007,New York,Gini coefficient,0.5,"19,132,335"
2007,New York,GDP,62324.50711,"19,132,335"
2007,New York,Log(GDP),11.04011,"19,132,335"
2007,New York,Age,37.7,"19,132,335"
2007,New York,People with less than 9 years of education/people with college degree or above,0.2255999,"19,132,335"
2007,New York,Black/white,0.2455013,"19,132,335"
2007,New York,Hispanic/white,0.2728323,"19,132,335"
2008,New York,Labor Force Participation,63.3,"19,212,436"
2008,New York,Unemployment rate,5.4,"19,212,436"
2008,New York,Average household size,2.65,"19,212,436"
2008,New York,Poverty rate,10.3,"19,212,436"
2008,New York,"Number of corruption convictions per 1,000,000 people",2.46276,"19,212,436"
2008,New York,Gini coefficient,0.50300002,"19,212,436"
2008,New York,GDP,60310.40972,"19,212,436"
2008,New York,Log(GDP),11.00726,"19,212,436"
2008,New York,Age,38,"19,212,436"
2008,New York,People with less than 9 years of education/people with college degree or above,0.2279619,"19,212,436"
2008,New York,Black/white,0.2663695,"19,212,436"
2008,New York,Hispanic/white,0.2790209,"19,212,436"
2009,New York,Labor Force Participation,62.8,"19,307,066"
2009,New York,Unemployment rate,8.3,"19,307,066"
2009,New York,Average household size,2.63,"19,307,066"
2009,New York,Poverty rate,10.8,"19,307,066"
2009,New York,"Number of corruption convictions per 1,000,000 people",1.94458,"19,307,066"
2009,New York,Gini coefficient,0.50199997,"19,307,066"
2009,New York,GDP,62596.83521,"19,307,066"
2009,New York,Log(GDP),11.04447,"19,307,066"
2009,New York,Age,38.1,"19,307,066"
2009,New York,People with less than 9 years of education/people with college degree or above,0.2152803,"19,307,066"
2009,New York,Black/white,0.2631166,"19,307,066"
2009,New York,Hispanic/white,0.2807176,"19,307,066"
2010,New York,Labor Force Participation,62.4,"19,399,878"
2010,New York,Unemployment rate,8.6,"19,399,878"
2010,New York,Average household size,2.61,"19,399,878"
2010,New York,Poverty rate,11.5,"19,399,878"
2010,New York,"Number of corruption convictions per 1,000,000 people",1.90797,"19,399,878"
2010,New York,Gini coefficient,0.49900001,"19,399,878"
2010,New York,GDP,65463.62998,"19,399,878"
2010,New York,Log(GDP),11.08925,"19,399,878"
2010,New York,Age,38,"19,399,878"
2010,New York,People with less than 9 years of education/people with college degree or above,0.216304,"19,399,878"
2010,New York,Black/white,0.267094,"19,399,878"
2010,New York,Hispanic/white,0.3042638,"19,399,878"
2011,New York,Labor Force Participation,61.5,"19,499,241"
2011,New York,Unemployment rate,8.3,"19,499,241"
2011,New York,Average household size,2.63,"19,499,241"
2011,New York,Poverty rate,12.3,"19,499,241"
2011,New York,"Number of corruption convictions per 1,000,000 people",2.67144,"19,499,241"
2011,New York,Gini coefficient,0.50330001,"19,499,241"
2011,New York,GDP,65205.55867,"19,499,241"
2011,New York,Log(GDP),11.0853,"19,499,241"
2011,New York,Age,38.1,"19,499,241"
2011,New York,People with less than 9 years of education/people with college degree or above,0.2072287,"19,499,241"
2011,New York,Black/white,0.2697545,"19,499,241"
2011,New York,Hispanic/white,0.3106519,"19,499,241"
2012,New York,Labor Force Participation,61.8,"19,572,932"
2012,New York,Unemployment rate,8.5,"19,572,932"
2012,New York,Average household size,2.62,"19,572,932"
2012,New York,Poverty rate,12.2,"19,572,932"
2012,New York,"Number of corruption convictions per 1,000,000 people",2.91258,"19,572,932"
2012,New York,Gini coefficient,0.50089997,"19,572,932"
2012,New York,GDP,67574.09645,"19,572,932"
2012,New York,Log(GDP),11.12098,"19,572,932"
2012,New York,Age,38.1,"19,572,932"
2012,New York,People with less than 9 years of education/people with college degree or above,0.1996761,"19,572,932"
2012,New York,Black/white,0.2713517,"19,572,932"
2012,New York,Hispanic/white,0.3165153,"19,572,932"
2013,New York,Labor Force Participation,61.8,"19,624,447"
2013,New York,Unemployment rate,7.7,"19,624,447"
2013,New York,Average household size,2.64,"19,624,447"
2013,New York,Poverty rate,12.1,"19,624,447"
2013,New York,"Number of corruption convictions per 1,000,000 people",1.32308,"19,624,447"
2013,New York,Gini coefficient,0.50980002,"19,624,447"
2013,New York,GDP,67136.28924,"19,624,447"
2013,New York,Log(GDP),11.11448,"19,624,447"
2013,New York,Age,38.2,"19,624,447"
2013,New York,People with less than 9 years of education/people with college degree or above,0.1984775,"19,624,447"
2013,New York,Black/white,0.2753179,"19,624,447"
2013,New York,Hispanic/white,0.3224435,"19,624,447"
2014,New York,Labor Force Participation,60.7,"19,651,049"
2014,New York,Unemployment rate,6.3,"19,651,049"
2014,New York,Average household size,2.63,"19,651,049"
2014,New York,Poverty rate,12.2,"19,651,049"
2014,New York,"Number of corruption convictions per 1,000,000 people",2.07635,"19,651,049"
2014,New York,Gini coefficient,0.51109999,"19,651,049"
2014,New York,GDP,68276.43745,"19,651,049"
2014,New York,Log(GDP),11.13132,"19,651,049"
2014,New York,Age,38.2,"19,651,049"
2014,New York,People with less than 9 years of education/people with college degree or above,0.1933579,"19,651,049"
2014,New York,Black/white,0.2781307,"19,651,049"
2014,New York,Hispanic/white,0.3299912,"19,651,049"
2015,New York,Labor Force Participation,60.8,"19,654,666"
2015,New York,Unemployment rate,5.3,"19,654,666"
2015,New York,Average household size,2.66,"19,654,666"
2015,New York,Poverty rate,11.6,"19,654,666"
2015,New York,"Number of corruption convictions per 1,000,000 people",3.43507,"19,654,666"
2015,New York,Gini coefficient,0.51380002,"19,654,666"
2015,New York,GDP,69160.83409,"19,654,666"
2015,New York,Log(GDP),11.14419,"19,654,666"
2015,New York,Age,38.3,"19,654,666"
2015,New York,People with less than 9 years of education/people with college degree or above,0.1890346,"19,654,666"
2015,New York,Black/white,0.2788322,"19,654,666"
2015,New York,Hispanic/white,0.3370956,"19,654,666"
2005,North Carolina,Labor Force Participation,65.7,"8,705,407"
2005,North Carolina,Unemployment rate,5.2,"8,705,407"
2005,North Carolina,Average household size,2.47,"8,705,407"
2005,North Carolina,Poverty rate,11.7,"8,705,407"
2005,North Carolina,"Number of corruption convictions per 1,000,000 people",1.49332,"8,705,407"
2005,North Carolina,Gini coefficient,0.45100001,"8,705,407"
2005,North Carolina,GDP,48447.20852,"8,705,407"
2005,North Carolina,Log(GDP),10.78823,"8,705,407"
2005,North Carolina,Age,36.2,"8,705,407"
2005,North Carolina,People with less than 9 years of education/people with college degree or above,0.2522718,"8,705,407"
2005,North Carolina,Black/white,0.3048615,"8,705,407"
2005,North Carolina,Hispanic/white,0.0926494,"8,705,407"
2006,North Carolina,Labor Force Participation,66.1,"8,917,270"
2006,North Carolina,Unemployment rate,4.7,"8,917,270"
2006,North Carolina,Average household size,2.49,"8,917,270"
2006,North Carolina,Poverty rate,10.7,"8,917,270"
2006,North Carolina,"Number of corruption convictions per 1,000,000 people",2.69141,"8,917,270"
2006,North Carolina,Gini coefficient,0.458,"8,917,270"
2006,North Carolina,GDP,48844.15508,"8,917,270"
2006,North Carolina,Log(GDP),10.79639,"8,917,270"
2006,North Carolina,Age,36.6,"8,917,270"
2006,North Carolina,People with less than 9 years of education/people with college degree or above,0.2647377,"8,917,270"
2006,North Carolina,Black/white,0.313014,"8,917,270"
2006,North Carolina,Hispanic/white,0.0995763,"8,917,270"
2007,North Carolina,Labor Force Participation,65.6,"9,118,037"
2007,North Carolina,Unemployment rate,4.7,"9,118,037"
2007,North Carolina,Average household size,2.48,"9,118,037"
2007,North Carolina,Poverty rate,10.6,"9,118,037"
2007,North Carolina,"Number of corruption convictions per 1,000,000 people",2.85149,"9,118,037"
2007,North Carolina,Gini coefficient,0.465,"9,118,037"
2007,North Carolina,GDP,48166.54635,"9,118,037"
2007,North Carolina,Log(GDP),10.78242,"9,118,037"
2007,North Carolina,Age,36.8,"9,118,037"
2007,North Carolina,People with less than 9 years of education/people with college degree or above,0.2395298,"9,118,037"
2007,North Carolina,Black/white,0.3132082,"9,118,037"
2007,North Carolina,Hispanic/white,0.1046843,"9,118,037"
2008,North Carolina,Labor Force Participation,65,"9,309,449"
2008,North Carolina,Unemployment rate,6.1,"9,309,449"
2008,North Carolina,Average household size,2.49,"9,309,449"
2008,North Carolina,Poverty rate,10.9,"9,309,449"
2008,North Carolina,"Number of corruption convictions per 1,000,000 people",1.84334,"9,309,449"
2008,North Carolina,Gini coefficient,0.463,"9,309,449"
2008,North Carolina,GDP,48460.29103,"9,309,449"
2008,North Carolina,Log(GDP),10.7885,"9,309,449"
2008,North Carolina,Age,37,"9,309,449"
2008,North Carolina,People with less than 9 years of education/people with college degree or above,0.2418584,"9,309,449"
2008,North Carolina,Black/white,0.3163766,"9,309,449"
2008,North Carolina,Hispanic/white,0.110311,"9,309,449"
2009,North Carolina,Labor Force Participation,64.2,"9,449,566"
2009,North Carolina,Unemployment rate,10.6,"9,449,566"
2009,North Carolina,Average household size,2.49,"9,449,566"
2009,North Carolina,Poverty rate,11.9,"9,449,566"
2009,North Carolina,"Number of corruption convictions per 1,000,000 people",0.959398,"9,449,566"
2009,North Carolina,Gini coefficient,0.46399999,"9,449,566"
2009,North Carolina,GDP,45529.69366,"9,449,566"
2009,North Carolina,Log(GDP),10.72612,"9,449,566"
2009,North Carolina,Age,36.9,"9,449,566"
2009,North Carolina,People with less than 9 years of education/people with college degree or above,0.2233254,"9,449,566"
2009,North Carolina,Black/white,0.3153628,"9,449,566"
2009,North Carolina,Hispanic/white,0.1144553,"9,449,566"
2010,North Carolina,Labor Force Participation,63.3,"9,574,323"
2010,North Carolina,Unemployment rate,10.9,"9,574,323"
2010,North Carolina,Average household size,2.53,"9,574,323"
2010,North Carolina,Poverty rate,13.3,"9,574,323"
2010,North Carolina,"Number of corruption convictions per 1,000,000 people",1.88254,"9,574,323"
2010,North Carolina,Gini coefficient,0.46399999,"9,574,323"
2010,North Carolina,GDP,45327.98993,"9,574,323"
2010,North Carolina,Log(GDP),10.72168,"9,574,323"
2010,North Carolina,Age,37.3,"9,574,323"
2010,North Carolina,People with less than 9 years of education/people with college degree or above,0.2119931,"9,574,323"
2010,North Carolina,Black/white,0.3291202,"9,574,323"
2010,North Carolina,Hispanic/white,0.1291871,"9,574,323"
2011,North Carolina,Labor Force Participation,62.5,"9,657,592"
2011,North Carolina,Unemployment rate,10.3,"9,657,592"
2011,North Carolina,Average household size,2.55,"9,657,592"
2011,North Carolina,Poverty rate,13.2,"9,657,592"
2011,North Carolina,"Number of corruption convictions per 1,000,000 people",1.34626,"9,657,592"
2011,North Carolina,Gini coefficient,0.4716,"9,657,592"
2011,North Carolina,GDP,45471.45293,"9,657,592"
2011,North Carolina,Log(GDP),10.72484,"9,657,592"
2011,North Carolina,Age,37.7,"9,657,592"
2011,North Carolina,People with less than 9 years of education/people with college degree or above,0.2129193,"9,657,592"
2011,North Carolina,Black/white,0.3337345,"9,657,592"
2011,North Carolina,Hispanic/white,0.1321345,"9,657,592"
2012,North Carolina,Labor Force Participation,62.4,"9,749,476"
2012,North Carolina,Unemployment rate,9.3,"9,749,476"
2012,North Carolina,Average household size,2.55,"9,749,476"
2012,North Carolina,Poverty rate,13.4,"9,749,476"
2012,North Carolina,"Number of corruption convictions per 1,000,000 people",0.410169,"9,749,476"
2012,North Carolina,Gini coefficient,0.4691,"9,749,476"
2012,North Carolina,GDP,45074.41186,"9,749,476"
2012,North Carolina,Log(GDP),10.71607,"9,749,476"
2012,North Carolina,Age,37.8,"9,749,476"
2012,North Carolina,People with less than 9 years of education/people with college degree or above,0.2106041,"9,749,476"
2012,North Carolina,Black/white,0.3349856,"9,749,476"
2012,North Carolina,Hispanic/white,0.1342696,"9,749,476"
2013,North Carolina,Labor Force Participation,61.8,"9,843,336"
2013,North Carolina,Unemployment rate,8,"9,843,336"
2013,North Carolina,Average household size,2.55,"9,843,336"
2013,North Carolina,Poverty rate,13.1,"9,843,336"
2013,North Carolina,"Number of corruption convictions per 1,000,000 people",1.92931,"9,843,336"
2013,North Carolina,Gini coefficient,0.4765,"9,843,336"
2013,North Carolina,GDP,45223.40312,"9,843,336"
2013,North Carolina,Log(GDP),10.71937,"9,843,336"
2013,North Carolina,Age,37.9,"9,843,336"
2013,North Carolina,People with less than 9 years of education/people with college degree or above,0.1917641,"9,843,336"
2013,North Carolina,Black/white,0.3353852,"9,843,336"
2013,North Carolina,Hispanic/white,0.1370816,"9,843,336"
2014,North Carolina,Labor Force Participation,61.1,"9,932,887"
2014,North Carolina,Unemployment rate,6.3,"9,932,887"
2014,North Carolina,Average household size,2.56,"9,932,887"
2014,North Carolina,Poverty rate,12.8,"9,932,887"
2014,North Carolina,"Number of corruption convictions per 1,000,000 people",0.804508,"9,932,887"
2014,North Carolina,Gini coefficient,0.47479999,"9,932,887"
2014,North Carolina,GDP,45618.56318,"9,932,887"
2014,North Carolina,Log(GDP),10.72807,"9,932,887"
2014,North Carolina,Age,38.3,"9,932,887"
2014,North Carolina,People with less than 9 years of education/people with college degree or above,0.1751732,"9,932,887"
2014,North Carolina,Black/white,0.3387675,"9,932,887"
2014,North Carolina,Hispanic/white,0.1400429,"9,932,887"
2015,North Carolina,Labor Force Participation,61.2,"10,031,646"
2015,North Carolina,Unemployment rate,5.7,"10,031,646"
2015,North Carolina,Average household size,2.55,"10,031,646"
2015,North Carolina,Poverty rate,11.8,"10,031,646"
2015,North Carolina,"Number of corruption convictions per 1,000,000 people",1.69275,"10,031,646"
2015,North Carolina,Gini coefficient,0.47760001,"10,031,646"
2015,North Carolina,GDP,46575.96898,"10,031,646"
2015,North Carolina,Log(GDP),10.74884,"10,031,646"
2015,North Carolina,Age,38.4,"10,031,646"
2015,North Carolina,People with less than 9 years of education/people with college degree or above,0.1710514,"10,031,646"
2015,North Carolina,Black/white,0.3400966,"10,031,646"
2015,North Carolina,Hispanic/white,0.1427196,"10,031,646"
2005,North Dakota,Labor Force Participation,72.3,"646,089"
2005,North Dakota,Unemployment rate,3.4,"646,089"
2005,North Dakota,Average household size,2.25,"646,089"
2005,North Dakota,Poverty rate,7.5,"646,089"
2005,North Dakota,"Number of corruption convictions per 1,000,000 people",13.93,"646,089"
2005,North Dakota,Gini coefficient,0.42799997,"646,089"
2005,North Dakota,GDP,47744.06285,"646,089"
2005,North Dakota,Log(GDP),10.77361,"646,089"
2005,North Dakota,Age,39.1,"646,089"
2005,North Dakota,People with less than 9 years of education/people with college degree or above,0.2306919,"646,089"
2005,North Dakota,Black/white,0.0087817,"646,089"
2005,North Dakota,Hispanic/white,0.0154356,"646,089"
2006,North Dakota,Labor Force Participation,73.2,"649,422"
2006,North Dakota,Unemployment rate,3.2,"649,422"
2006,North Dakota,Average household size,2.23,"649,422"
2006,North Dakota,Poverty rate,7,"649,422"
2006,North Dakota,"Number of corruption convictions per 1,000,000 people",3.07966,"649,422"
2006,North Dakota,Gini coefficient,0.43399999,"649,422"
2006,North Dakota,GDP,47591.05013,"649,422"
2006,North Dakota,Log(GDP),10.7704,"649,422"
2006,North Dakota,Age,37.1,"649,422"
2006,North Dakota,People with less than 9 years of education/people with college degree or above,0.2409817,"649,422"
2006,North Dakota,Black/white,0.0103859,"649,422"
